word,ssc_10_rel_error,ssc_25_rel_error,ssc_50_rel_error,ssc_70_rel_error
acendradísimo, 10, 1.0
acento, 10, 0.5
acentos, 10, 0.0
aceptar, 10, 0.0
acepto, 10, 0.0
aceptó, 10, 0.0
aceptólo, 10, 0.0
acerada, 10, 0.0
acerado, 10, 0.0
acerca, 10, 0.0
acercado, 10, 0.0
acercando, 10, 0.333
acercó, 10, 0.0
acercóse, 10, 0.0
acero, 10, 0.0
aceros, 10, 0.0
acertaba, 10, 0.0
acertada, 10, 0.0
acertado, 10, 0.0
acertadísimo, 10, 1.0
acertar, 10, 0.0
acertara, 10, 0.0
acertare, 10, 0.2
acertarle, 10, 0.0
acertaré, 10, 0.5
acertaréis, 10, 1.0
acertase, 10, 0.0
acertastes, 10, 1.0
acertáis, 10, 0.0
acertándole, 10, 1.0
acertáramos, 10, 1.0
acertó, 10, 0.0
acetaba, 10, 0.0
acetación, 10, 0.0
acetar, 10, 0.0
acete, 10, 0.0
aceto, 10, 0.0
aceñas, 10, 0.0
achaque, 10, 0.0
aciago, 10, 0.0
aciagos, 10, 0.0
acicalada, 10, 0.0
acidente, 10, 0.0
acierta, 10, 0.0
aciertan, 10, 0.0
acierte, 10, 0.0
aciertes, 10, 0.0
acierto, 10, 0.0
aclamaban, 10, 0.0
aclamaron, 10, 0.0
aclara, 10, 0.0
aclaraba, 10, 0.0
aclarase, 10, 0.0
aclare, 10, 0.0
aclárate, 10, 0.0
acobardaban, 10, 1.0
acobardado, 10, 0.5
acobarde, 10, 0.0
acobardóse, 10, 1.0
acoceado, 10, 0.0
acocear, 10, 0.0
acogen, 10, 0.0
acoger, 10, 0.0
acogida, 10, 0.0
acogido, 10, 0.0
acogidos, 10, 0.0
acogiese, 10, 0.0
acogiesen, 10, 0.0
acogimiento, 10, 0.091
acogimientos, 10, 1.0
acogió, 10, 0.333
acoja, 10, 0.0
acometa, 10, 0.0
acomete, 10, 0.0
acometedor, 10, 0.5
acometedores, 10, 1.0
acometella, 10, 1.0
acometellas, 10, 1.0
