Word, Count, Time_exc
affinity, 3, 0.044
affirm, 3, 0.044
affirmed, 3, 0.044
afflict, 36, 0.044
afflicted, 54, 0.044
afflictest, 1, 0.044
affliction, 75, 0.044
afflictions, 13, 0.044
affording, 1, 0.044
affright, 1, 0.044
affrighted, 9, 0.044
afoot, 2, 0.044
afore, 7, 0.044
aforehand, 1, 0.044
aforetime, 7, 0.044
afraid, 193, 0.044
afresh, 1, 0.044
afternoon, 1, 0.044
afterward, 66, 0.044
afterwards, 13, 0.044
agabus, 2, 0.044
agag, 8, 0.044
agagite, 5, 0.044
agar, 2, 0.044
agate, 3, 0.044
agates, 1, 0.044
age, 42, 0.044
aged, 9, 0.044
agee, 1, 0.044
ages, 4, 0.044
ago, 13, 0.044
agone, 1, 0.044
agony, 1, 0.044
agree, 7, 0.044
agreed, 8, 0.044
agreement, 6, 0.044
agreeth, 2, 0.044
agrippa, 12, 0.044
aground, 1, 0.044
ague, 1, 0.044
agur, 1, 0.044
ah, 18, 0.044
aha, 10, 0.044
ahab, 94, 0.044
aharah, 1, 0.044
aharhel, 1, 0.044
ahasai, 1, 0.044
ahasbai, 1, 0.044
ahasuerus, 31, 0.044
ahava, 3, 0.044
ahaz, 42, 0.044
ahaziah, 37, 0.044
ahban, 1, 0.044
aher, 1, 0.044
ahi, 2, 0.044
ahiah, 4, 0.044
ahiam, 2, 0.044
ahian, 1, 0.044
ahiezer, 6, 0.044
ahihud, 2, 0.044
ahijah, 20, 0.044
ahikam, 20, 0.044
ahilud, 5, 0.044
ahimaaz, 15, 0.044
ahiman, 4, 0.044
ahimelech, 16, 0.044
ahimoth, 1, 0.044
ahinadab, 1, 0.044
ahinoam, 7, 0.044
ahio, 6, 0.044
ahira, 5, 0.044
ahiram, 1, 0.044
ahiramites, 1, 0.044
ahisamach, 3, 0.044
ahishahar, 1, 0.044
ahishar, 1, 0.044
ahithophel, 20, 0.044
ahitub, 15, 0.044
ahlab, 1, 0.044
ahlai, 2, 0.044
ahoah, 1, 0.044
ahohite, 5, 0.044
aholah, 5, 0.044
aholiab, 5, 0.044
aholibah, 6, 0.044
aholibamah, 8, 0.044
ahumai, 1, 0.044
ahuzam, 1, 0.044
ahuzzath, 1, 0.044
ai, 36, 0.044
aiah, 5, 0.044
aiath, 1, 0.044
aided, 1, 0.044
aija, 1, 0.044
aijalon, 7, 0.044
ailed, 1, 0.044
aileth, 7, 0.044
air, 39, 0.044
ajah, 1, 0.044
ajalon, 3, 0.044
akan, 1, 0.044
akkub, 8, 0.044
akrabbim, 2, 0.044
alabaster, 3, 0.044
alameth, 1, 0.044
alammelech, 1, 0.044
alamoth, 1, 0.044
alarm, 10, 0.044
alas, 20, 0.044
albeit, 2, 0.044
alemeth, 3, 0.044
alexander, 6, 0.044
alexandria, 3, 0.044
alexandrians, 1, 0.044
algum, 3, 0.044
aliah, 1, 0.044
alian, 1, 0.044
alien, 5, 0.044
alienate, 1, 0.044
alienated, 7, 0.044
aliens, 3, 0.044
alike, 11, 0.044
alive, 88, 0.044
alleging, 1, 0.044
allegory, 1, 0.044
alleluia, 4, 0.044
allied, 1, 0.044
allon, 2, 0.044
allonbachuth, 1, 0.044
allow, 3, 0.044
allowance, 2, 0.044
allowed, 1, 0.044
alloweth, 1, 0.044
allure, 2, 0.044
almighty, 57, 0.044
almodad, 2, 0.044
almon, 1, 0.044
almond, 2, 0.044
almondiblathaim, 2, 0.044
almonds, 8, 0.044
almost, 11, 0.044
alms, 13, 0.044
almsdeeds, 1, 0.044
almug, 3, 0.044
aloes, 5, 0.044
alone, 108, 0.044
along, 30, 0.044
aloof, 1, 0.044
aloth, 1, 0.044
aloud, 20, 0.044
alpha, 4, 0.044
alphaeus, 5, 0.044
already, 31, 0.044
also, 1769, 0.044
altar, 378, 0.044
altars, 55, 0.044
alter, 4, 0.044
altered, 2, 0.044
altereth, 2, 0.044
although, 16, 0.044
altogether, 29, 0.044
alush, 2, 0.044
alvah, 1, 0.044
alvan, 1, 0.044
alway, 23, 0.044
always, 62, 0.044
amad, 1, 0.044
amal, 1, 0.044
amalek, 24, 0.044
amalekite, 3, 0.044
amalekites, 24, 0.044
amam, 1, 0.044
amana, 1, 0.044
amariah, 16, 0.044
amasa, 16, 0.044
amasai, 5, 0.044
amashai, 1, 0.044
amasiah, 1, 0.044
amazed, 21, 0.044
amazement, 2, 0.044
amaziah, 40, 0.044
ambassador, 4, 0.044
ambassadors, 8, 0.044
ambassage, 1, 0.044
amber, 3, 0.044
ambush, 7, 0.044
ambushes, 1, 0.044
ambushment, 2, 0.044
ambushments, 1, 0.044
amen, 78, 0.044
amend, 6, 0.044
amends, 1, 0.044
amerce, 1, 0.044
amethyst, 3, 0.044
ami, 1, 0.044
amiable, 1, 0.044
aminadab, 3, 0.044
amiss, 4, 0.044
amittai, 2, 0.044
ammah, 1, 0.044
ammi, 1, 0.044
ammiel, 6, 0.044
ammihud, 10, 0.044
amminadab, 13, 0.044
amminadib, 1, 0.044
ammishaddai, 5, 0.044
ammizabad, 1, 0.044
ammon, 91, 0.044
ammonite, 9, 0.044
ammonites, 23, 0.044
ammonitess, 4, 0.044
amnon, 28, 0.044
amok, 2, 0.044
amon, 19, 0.044
among, 916, 0.044
amongst, 2, 0.044
amorite, 14, 0.044
amorites, 73, 0.044
amos, 9, 0.044
amounting, 1, 0.044
amoz, 13, 0.044
amphipolis, 1, 0.044
amplias, 1, 0.044
amram, 15, 0.044
amramites, 2, 0.044
amraphel, 2, 0.044
amzi, 2, 0.044
anab, 2, 0.044
anah, 12, 0.044
